"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-09,Hovedstaden,K,112406,42260,111846,42158,560,102
2021-03-09,Hovedstaden,M,57323,19252,56901,19155,422,97
2021-03-09,Midtjylland,K,82715,36354,79708,34242,3007,2112
2021-03-09,Midtjylland,M,37795,14455,36743,12958,1052,1497
2021-03-09,Nordjylland,K,40748,16110,40666,15736,82,374
2021-03-09,Nordjylland,M,18343,5846,18319,5624,24,222
2021-03-09,Sjælland,K,53967,22894,53183,22126,784,768
2021-03-09,Sjælland,M,26164,10014,25687,9394,477,620
2021-03-09,Syddanmark,K,79922,30458,78279,29968,1643,490
2021-03-09,Syddanmark,M,39679,12455,38378,12155,1301,300
