"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-17,Hovedstaden,K,119358,55431,118816,53345,542,2086
2021-03-17,Hovedstaden,M,61796,28096,61346,26581,450,1515
2021-03-17,Midtjylland,K,90405,44629,89600,42698,805,1931
2021-03-17,Midtjylland,M,42057,20321,41235,18764,822,1557
2021-03-17,Nordjylland,K,43427,21540,42683,21509,744,31
2021-03-17,Nordjylland,M,20261,10160,19701,10140,560,20
2021-03-17,Sjælland,K,57923,28807,57043,28366,880,441
2021-03-17,Sjælland,M,29225,14755,28284,14311,941,444
2021-03-17,Syddanmark,K,87043,37003,86455,36279,588,724
2021-03-17,Syddanmark,M,44448,17209,43976,16660,472,549
