"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-18,Hovedstaden,K,120407,57928,119358,55431,1049,2497
2021-03-18,Hovedstaden,M,62608,29677,61796,28096,812,1581
2021-03-18,Midtjylland,K,92119,46253,90405,44629,1714,1624
2021-03-18,Midtjylland,M,43826,21496,42057,20321,1769,1175
2021-03-18,Nordjylland,K,44105,21556,43427,21540,678,16
2021-03-18,Nordjylland,M,20949,10183,20261,10160,688,23
2021-03-18,Sjælland,K,58751,29219,57923,28807,828,412
2021-03-18,Sjælland,M,29992,15181,29225,14755,767,426
2021-03-18,Syddanmark,K,88139,37677,87043,37003,1096,674
2021-03-18,Syddanmark,M,45480,17708,44448,17209,1032,499
