"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-19,Hovedstaden,K,123596,60409,120407,57928,3189,2481
2021-03-19,Hovedstaden,M,65332,31403,62608,29677,2724,1726
2021-03-19,Midtjylland,K,93744,46986,92119,46253,1625,733
2021-03-19,Midtjylland,M,45593,22009,43826,21496,1767,513
2021-03-19,Nordjylland,K,44907,21616,44105,21556,802,60
2021-03-19,Nordjylland,M,21793,10221,20949,10183,844,38
2021-03-19,Sjælland,K,59674,29491,58751,29219,923,272
2021-03-19,Sjælland,M,30905,15451,29992,15181,913,270
2021-03-19,Syddanmark,K,89094,38277,88139,37677,955,600
2021-03-19,Syddanmark,M,46373,18150,45480,17708,893,442
