"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-31,Hovedstaden,K,142290,71479,137539,71389,4751,90
2021-03-31,Hovedstaden,M,80971,41109,76817,41050,4154,59
2021-03-31,Midtjylland,K,106933,57505,103861,55879,3072,1626
2021-03-31,Midtjylland,M,57239,31528,54796,30183,2443,1345
2021-03-31,Nordjylland,K,50554,25467,50522,25345,32,122
2021-03-31,Nordjylland,M,26820,13693,26794,13567,26,126
2021-03-31,Sjælland,K,72350,33917,69876,33645,2474,272
2021-03-31,Sjælland,M,43107,20340,40867,20091,2240,249
2021-03-31,Syddanmark,K,96970,53017,95809,52009,1161,1008
2021-03-31,Syddanmark,M,53593,31500,52417,30453,1176,1047
