"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-05,Hovedstaden,K,150213,78879,147266,78789,2947,90
2021-04-05,Hovedstaden,M,88035,46425,85312,46367,2723,58
2021-04-05,Midtjylland,K,112842,58967,112402,58937,440,30
2021-04-05,Midtjylland,M,62230,32579,61840,32555,390,24
2021-04-05,Nordjylland,K,52519,27270,51843,26959,676,311
2021-04-05,Nordjylland,M,28646,15328,27984,15129,662,199
2021-04-05,Sjælland,K,76507,35707,75200,35571,1307,136
2021-04-05,Sjælland,M,46954,22162,45764,22041,1190,121
2021-04-05,Syddanmark,K,101527,56289,100759,55743,768,546
2021-04-05,Syddanmark,M,57630,34264,57009,33876,621,388
