"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-07,Hovedstaden,K,155067,79003,153268,78898,1799,105
2021-04-07,Hovedstaden,M,92220,46519,90739,46438,1481,81
2021-04-07,Midtjylland,K,116046,60210,113345,59052,2701,1158
2021-04-07,Midtjylland,M,65195,33522,62659,32634,2536,888
2021-04-07,Nordjylland,K,54535,27685,53444,27619,1091,66
2021-04-07,Nordjylland,M,30549,15647,29499,15591,1050,56
2021-04-07,Sjælland,K,78765,36680,77318,35711,1447,969
2021-04-07,Sjælland,M,48986,23148,47716,22169,1270,979
2021-04-07,Syddanmark,K,103994,57557,102711,56563,1283,994
2021-04-07,Syddanmark,M,59879,35423,58720,34512,1159,911
