"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-13,Hovedstaden,K,185764,86428,171812,82619,13952,3809
2021-04-13,Hovedstaden,M,118386,52883,106115,49425,12271,3458
2021-04-13,Midtjylland,K,134013,65720,123213,64744,10800,976
2021-04-13,Midtjylland,M,81534,38636,71444,37755,10090,881
2021-04-13,Nordjylland,K,62414,30591,57478,30515,4936,76
2021-04-13,Nordjylland,M,38031,18422,33146,18360,4885,62
2021-04-13,Sjælland,K,94403,40288,85477,39770,8926,518
2021-04-13,Sjælland,M,62766,26705,54742,26019,8024,686
2021-04-13,Syddanmark,K,122580,62058,112429,61383,10151,675
2021-04-13,Syddanmark,M,77051,39475,67519,38829,9532,646
