"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-20,Hovedstaden,K,208834,93477,204226,92399,4608,1078
2021-04-20,Hovedstaden,M,136943,58580,133075,57610,3868,970
2021-04-20,Midtjylland,K,146815,72860,144238,70296,2577,2564
2021-04-20,Midtjylland,M,92791,45335,90537,43042,2254,2293
2021-04-20,Nordjylland,K,69252,35435,68068,34015,1184,1420
2021-04-20,Nordjylland,M,43991,22808,42915,21601,1076,1207
2021-04-20,Sjælland,K,102187,46860,100623,45212,1564,1648
2021-04-20,Sjælland,M,69367,33094,67914,31381,1453,1713
2021-04-20,Syddanmark,K,137229,66860,134215,66029,3014,831
2021-04-20,Syddanmark,M,90027,43810,87321,43055,2706,755
