"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-23,Hovedstaden,K,220621,98399,214531,98316,6090,83
2021-04-23,Hovedstaden,M,146746,62690,141568,62611,5178,79
2021-04-23,Midtjylland,K,157522,79995,153790,78559,3732,1436
2021-04-23,Midtjylland,M,102439,51259,99185,50015,3254,1244
2021-04-23,Nordjylland,K,72716,35976,71377,35942,1339,34
2021-04-23,Nordjylland,M,47319,23232,46038,23203,1281,29
2021-04-23,Sjælland,K,106349,51117,104948,50573,1401,544
2021-04-23,Sjælland,M,73168,36985,72008,36517,1160,468
2021-04-23,Syddanmark,K,145442,69090,143066,68256,2376,834
2021-04-23,Syddanmark,M,97848,45909,95535,45181,2313,728
