"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-26,Hovedstaden,K,230631,103463,226392,103316,4239,147
2021-04-26,Hovedstaden,M,155430,66913,151434,66752,3996,161
2021-04-26,Midtjylland,K,160162,81104,160038,81090,124,14
2021-04-26,Midtjylland,M,104891,52171,104765,52158,126,13
2021-04-26,Nordjylland,K,77147,36757,76545,36470,602,287
2021-04-26,Nordjylland,M,51341,23901,50806,23692,535,209
2021-04-26,Sjælland,K,109748,54822,108997,52969,751,1853
2021-04-26,Sjælland,M,75992,40254,75427,38562,565,1692
2021-04-26,Syddanmark,K,152853,71451,150518,70968,2335,483
2021-04-26,Syddanmark,M,104333,48013,102419,47574,1914,439
