"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-11,Hovedstaden,K,269492,170250,266787,167080,2705,3170
2021-05-11,Hovedstaden,M,195231,117078,192178,114826,3053,2252
2021-05-11,Midtjylland,K,200475,115416,195247,111331,5228,4085
2021-05-11,Midtjylland,M,142358,81406,137350,78473,5008,2933
2021-05-11,Nordjylland,K,93934,53674,93266,50914,668,2760
2021-05-11,Nordjylland,M,67355,38133,66749,36214,606,1919
2021-05-11,Sjælland,K,133720,84633,130671,81834,3049,2799
2021-05-11,Sjælland,M,98571,63635,95465,61892,3106,1743
2021-05-11,Syddanmark,K,190655,104014,189299,96257,1356,7757
2021-05-11,Syddanmark,M,139545,74691,138122,68216,1423,6475
