"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-14,Hovedstaden,K,279825,183593,277611,177361,2214,6232
2021-05-14,Hovedstaden,M,206504,126142,204043,121745,2461,4397
2021-05-14,Midtjylland,K,209153,126629,208481,125231,672,1398
2021-05-14,Midtjylland,M,151767,89736,150912,88469,855,1267
2021-05-14,Nordjylland,K,96166,58071,95164,57112,1002,959
2021-05-14,Nordjylland,M,69802,41195,68692,40313,1110,882
2021-05-14,Sjælland,K,141377,89870,138401,88701,2976,1169
2021-05-14,Sjælland,M,106164,67581,102883,66528,3281,1053
2021-05-14,Syddanmark,K,198340,112361,195911,111168,2429,1193
2021-05-14,Syddanmark,M,147535,80849,144924,79710,2611,1139
