"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-24,Hovedstaden,K,326523,215325,322339,214424,4184,901
2021-05-24,Hovedstaden,M,259041,148233,254438,147897,4603,336
2021-05-24,Midtjylland,K,229184,153616,228667,153467,517,149
2021-05-24,Midtjylland,M,173588,107847,172946,107698,642,149
2021-05-24,Nordjylland,K,104398,75044,103209,75043,1189,1
2021-05-24,Nordjylland,M,78714,51960,77156,51958,1558,2
2021-05-24,Sjælland,K,168622,105624,166144,104684,2478,940
2021-05-24,Sjælland,M,136073,76220,133039,75983,3034,237
2021-05-24,Syddanmark,K,221161,145394,219181,143342,1980,2052
2021-05-24,Syddanmark,M,173105,104082,170769,102688,2336,1394
