"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-26,Hovedstaden,K,336366,217532,329888,216077,6478,1455
2021-05-26,Hovedstaden,M,270344,149109,262893,148451,7451,658
2021-05-26,Midtjylland,K,236128,156686,230140,154375,5988,2311
2021-05-26,Midtjylland,M,182228,109325,174869,108253,7359,1072
2021-05-26,Nordjylland,K,106379,76980,105060,76965,1319,15
2021-05-26,Nordjylland,M,81082,53050,79556,53046,1526,4
2021-05-26,Sjælland,K,174966,106854,171625,106314,3341,540
2021-05-26,Sjælland,M,143245,76620,139444,76401,3801,219
2021-05-26,Syddanmark,K,226710,151353,224000,147436,2710,3917
2021-05-26,Syddanmark,M,179511,108032,176320,105728,3191,2304
