"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-31,Hovedstaden,K,365868,225772,362485,223523,3383,2249
2021-05-31,Hovedstaden,M,302435,154477,298665,152455,3770,2022
2021-05-31,Midtjylland,K,255441,162113,255243,162088,198,25
2021-05-31,Midtjylland,M,205706,111526,205346,111440,360,86
2021-05-31,Nordjylland,K,115956,79765,113079,79762,2877,3
2021-05-31,Nordjylland,M,92757,54417,89030,54411,3727,6
2021-05-31,Sjælland,K,188523,111244,186342,110355,2181,889
2021-05-31,Sjælland,M,158611,78667,156064,78334,2547,333
2021-05-31,Syddanmark,K,245056,160236,241858,159331,3198,905
2021-05-31,Syddanmark,M,200217,113967,196471,113370,3746,597
