"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-14,Hovedstaden,K,457166,264232,448314,263653,8852,579
2021-06-14,Hovedstaden,M,405254,200106,395350,198762,9904,1344
2021-06-14,Midtjylland,K,316476,191999,316155,191809,321,190
2021-06-14,Midtjylland,M,279057,139010,278344,138438,713,572
2021-06-14,Nordjylland,K,143238,91252,140845,90200,2393,1052
2021-06-14,Nordjylland,M,126046,66899,123280,65709,2766,1190
2021-06-14,Sjælland,K,227914,132023,226589,129635,1325,2388
2021-06-14,Sjælland,M,203089,98304,201653,95770,1436,2534
2021-06-14,Syddanmark,K,301235,182697,298479,181062,2756,1635
2021-06-14,Syddanmark,M,266084,135266,262817,133322,3267,1944
