"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-23,Hovedstaden,K,515871,290154,509477,286430,6394,3724
2021-06-23,Hovedstaden,M,470853,230466,464019,226095,6834,4371
2021-06-23,Midtjylland,K,361691,215518,355288,212515,6403,3003
2021-06-23,Midtjylland,M,329523,165422,322981,161982,6542,3440
2021-06-23,Nordjylland,K,165711,97088,162514,96328,3197,760
2021-06-23,Nordjylland,M,151639,73144,148116,72483,3523,661
2021-06-23,Sjælland,K,250760,151760,248482,149291,2278,2469
2021-06-23,Sjælland,M,229049,119493,226525,116812,2524,2681
2021-06-23,Syddanmark,K,335490,202942,331269,200153,4221,2789
2021-06-23,Syddanmark,M,303866,157658,299513,154532,4353,3126
