"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-28,København,K,156723,78748,154199,77525,2524,1223
2021-06-28,København,M,148536,70298,146439,68896,2097,1402
2021-06-28,Frederiksberg,K,31093,18013,30757,17815,336,198
2021-06-28,Frederiksberg,M,26753,14215,26465,13948,288,267
2021-06-28,Ballerup,K,15191,9402,15081,9221,110,181
2021-06-28,Ballerup,M,13407,7120,13307,6960,100,160
2021-06-28,Brøndby,K,10075,6704,10040,6593,35,111
2021-06-28,Brøndby,M,8907,5341,8858,5220,49,121
2021-06-28,Dragør,K,4894,3082,4872,3025,22,57
2021-06-28,Dragør,M,4500,2620,4469,2562,31,58
2021-06-28,Gentofte,K,24441,14695,24307,14448,134,247
2021-06-28,Gentofte,M,21537,11774,21401,11535,136,239
2021-06-28,Gladsaxe,K,20246,11982,20065,11808,181,174
2021-06-28,Gladsaxe,M,18454,9354,18264,9138,190,216
2021-06-28,Glostrup,K,6931,4520,6876,4434,55,86
2021-06-28,Glostrup,M,6118,3387,6065,3310,53,77
2021-06-28,Herlev,K,8837,5531,8764,5463,73,68
2021-06-28,Herlev,M,7711,4062,7656,4004,55,58
2021-06-28,Albertslund,K,7564,4851,7511,4771,53,80
2021-06-28,Albertslund,M,6826,3868,6773,3791,53,77
2021-06-28,Hvidovre,K,15421,9658,15335,9507,86,151
2021-06-28,Hvidovre,M,13982,7616,13888,7443,94,173
2021-06-28,Høje Tåstrup,K,14124,9100,14052,8962,72,138
2021-06-28,Høje Tåstrup,M,13189,7440,13123,7274,66,166
2021-06-28,Lyngby-Taarbæk,K,18335,10611,18186,10469,149,142
2021-06-28,Lyngby-Taarbæk,M,16538,8168,16386,8045,152,123
2021-06-28,Rødovre,K,11973,7545,11889,7444,84,101
2021-06-28,Rødovre,M,10432,5632,10345,5524,87,108
2021-06-28,Ishøj,K,5762,3812,5738,3748,24,64
2021-06-28,Ishøj,M,5350,3140,5323,3068,27,72
2021-06-28,Tårnby,K,13034,7925,12957,7773,77,152
2021-06-28,Tårnby,M,11873,6381,11797,6241,76,140
2021-06-28,Vallensbæk,K,4618,2961,4593,2898,25,63
2021-06-28,Vallensbæk,M,4314,2536,4289,2485,25,51
2021-06-28,Furesø,K,13220,8099,13151,7979,69,120
2021-06-28,Furesø,M,11960,6369,11886,6239,74,130
2021-06-28,Allerød,K,8541,4967,8474,4903,67,64
2021-06-28,Allerød,M,7862,4076,7801,3997,61,79
2021-06-28,Fredensborg,K,13283,8285,13190,8229,93,56
2021-06-28,Fredensborg,M,11881,6600,11788,6548,93,52
2021-06-28,Helsingør,K,20978,13117,20902,13099,76,18
2021-06-28,Helsingør,M,18516,10218,18442,10180,74,38
2021-06-28,Hillerød,K,16676,10105,16503,9993,173,112
2021-06-28,Hillerød,M,15140,7926,14959,7807,181,119
2021-06-28,Hørsholm,K,9007,5713,8956,5677,51,36
2021-06-28,Hørsholm,M,7562,4332,7515,4300,47,32
2021-06-28,Rudersdal,K,18957,11096,18836,11002,121,94
2021-06-28,Rudersdal,M,17354,9072,17225,8976,129,96
2021-06-28,Egedal,K,13874,7996,13785,7863,89,133
2021-06-28,Egedal,M,13071,6585,12988,6432,83,153
2021-06-28,Frederikssund,K,15426,9859,15343,9764,83,95
2021-06-28,Frederikssund,M,14119,7926,14031,7819,88,107
2021-06-28,Greve,K,14846,8984,14783,8735,63,249
2021-06-28,Greve,M,13568,7305,13500,7008,68,297
2021-06-28,Køge,K,18581,11002,18478,10818,103,184
2021-06-28,Køge,M,17105,8750,17010,8528,95,222
2021-06-28,Halsnæs,K,10535,7085,10447,7021,88,64
2021-06-28,Halsnæs,M,9764,5896,9692,5814,72,82
2021-06-28,Roskilde,K,27159,16360,27016,16032,143,328
2021-06-28,Roskilde,M,24173,12714,24000,12390,173,324
2021-06-28,Solrød,K,7013,3964,6977,3857,36,107
2021-06-28,Solrød,M,6450,3263,6398,3119,52,144
2021-06-28,Gribskov,K,13883,9312,13796,9221,87,91
2021-06-28,Gribskov,M,13154,8022,13057,7903,97,119
2021-06-28,Odsherred,K,11083,7579,11076,7529,7,50
2021-06-28,Odsherred,M,10443,6454,10439,6385,4,69
2021-06-28,Holbæk,K,22647,14373,22574,14227,73,146
2021-06-28,Holbæk,M,20642,11511,20561,11317,81,194
2021-06-28,Faxe,K,11003,6671,10974,6549,29,122
2021-06-28,Faxe,M,10480,5563,10456,5405,24,158
2021-06-28,Kalundborg,K,14654,9713,14652,9531,2,182
2021-06-28,Kalundborg,M,13641,8204,13641,7985,0,219
2021-06-28,Ringsted,K,9852,5590,9835,5490,17,100
2021-06-28,Ringsted,M,9045,4425,9032,4316,13,109
2021-06-28,Slagelse,K,24244,16551,24183,16185,61,366
2021-06-28,Slagelse,M,21872,13122,21810,12732,62,390
2021-06-28,Stevns,K,7196,4464,7180,4359,16,105
2021-06-28,Stevns,M,6939,3786,6925,3654,14,132
2021-06-28,Sorø,K,9288,6022,9286,5881,2,141
2021-06-28,Sorø,M,8574,4854,8567,4693,7,161
2021-06-28,Lejre,K,8771,5384,8741,5292,30,92
2021-06-28,Lejre,M,8323,4524,8293,4430,30,94
2021-06-28,Lolland,K,12918,8610,12911,8487,7,123
2021-06-28,Lolland,M,12159,7449,12150,7291,9,158
2021-06-28,Næstved,K,25239,16402,25206,16026,33,376
2021-06-28,Næstved,M,22839,13016,22810,12593,29,423
2021-06-28,Guldborgsund,K,19868,13469,19828,13333,40,136
2021-06-28,Guldborgsund,M,18466,11166,18419,10943,47,223
2021-06-28,Vordingborg,K,14431,9462,14425,9330,6,132
2021-06-28,Vordingborg,M,13268,7960,13255,7793,13,167
2021-06-28,Bornholm,K,13988,9616,13921,9485,67,131
2021-06-28,Bornholm,M,12945,8035,12854,7864,91,171
2021-06-28,Middelfart,K,11790,7427,11716,7390,74,37
2021-06-28,Middelfart,M,11034,5984,10942,5935,92,49
2021-06-28,Assens,K,12237,7757,12133,7704,104,53
2021-06-28,Assens,M,11263,6293,11148,6248,115,45
2021-06-28,Faaborg-Midtfyn,K,15749,9710,15674,9610,75,100
2021-06-28,Faaborg-Midtfyn,M,14680,7786,14623,7662,57,124
2021-06-28,Kerteminde,K,7403,4815,7349,4779,54,36
2021-06-28,Kerteminde,M,6598,3771,6551,3737,47,34
2021-06-28,Nyborg,K,9800,5934,9762,5900,38,34
2021-06-28,Nyborg,M,8806,4602,8775,4565,31,37
2021-06-28,Odense,K,53828,34563,53411,34401,417,162
2021-06-28,Odense,M,46774,26738,46373,26574,401,164
2021-06-28,Svendborg,K,18666,11442,18646,11237,20,205
2021-06-28,Svendborg,M,16889,8867,16869,8640,20,227
2021-06-28,Nordfyn,K,8580,5598,8507,5560,73,38
2021-06-28,Nordfyn,M,8095,4631,8025,4598,70,33
2021-06-28,Langeland,K,4199,2814,4199,2770,0,44
2021-06-28,Langeland,M,3930,2299,3928,2260,2,39
2021-06-28,Ærø,K,2138,1504,2138,1504,0,0
2021-06-28,Ærø,M,1931,1221,1931,1221,0,0
2021-06-28,Haderslev,K,15057,8953,14982,8862,75,91
2021-06-28,Haderslev,M,13847,7077,13780,6949,67,128
2021-06-28,Billund,K,7621,4242,7589,4182,32,60
2021-06-28,Billund,M,7257,3507,7219,3442,38,65
2021-06-28,Sønderborg,K,21939,13751,21804,13476,135,275
2021-06-28,Sønderborg,M,20102,11065,19979,10730,123,335
2021-06-28,Tønder,K,10380,6125,10357,6063,23,62
2021-06-28,Tønder,M,9571,4963,9551,4878,20,85
2021-06-28,Esbjerg,K,34328,21785,34325,21423,3,362
2021-06-28,Esbjerg,M,31461,17739,31449,17251,12,488
2021-06-28,Fanø,K,1192,849,1192,845,0,4
2021-06-28,Fanø,M,1079,709,1079,704,0,5
2021-06-28,Varde,K,14752,9444,14750,9259,2,185
2021-06-28,Varde,M,14135,8050,14129,7814,6,236
2021-06-28,Vejen,K,11550,6964,11511,6894,39,70
2021-06-28,Vejen,M,10906,5535,10853,5432,53,103
2021-06-28,Aabenraa,K,16357,10357,16255,10189,102,168
2021-06-28,Aabenraa,M,15089,8566,14998,8345,91,221
2021-06-28,Fredericia,K,14675,8668,14573,8610,102,58
2021-06-28,Fredericia,M,13487,6745,13396,6673,91,72
2021-06-28,Horsens,K,25533,15108,25467,15101,66,7
2021-06-28,Horsens,M,23233,11350,23136,11343,97,7
2021-06-28,Kolding,K,24430,14426,24329,14251,101,175
2021-06-28,Kolding,M,22426,11596,22319,11407,107,189
2021-06-28,Vejle,K,32133,19431,31831,19288,302,143
2021-06-28,Vejle,M,29515,15561,29213,15408,302,153
2021-06-28,Herning,K,25482,15323,25473,15312,9,11
2021-06-28,Herning,M,23557,11779,23543,11769,14,10
2021-06-28,Holstebro,K,17327,10737,17326,10736,1,1
2021-06-28,Holstebro,M,15636,8075,15634,8073,2,2
2021-06-28,Lemvig,K,6309,3932,6309,3932,0,0
2021-06-28,Lemvig,M,6130,3299,6130,3299,0,0
2021-06-28,Struer,K,6748,4337,6748,4337,0,0
2021-06-28,Struer,M,6349,3468,6348,3467,1,1
2021-06-28,Syddjurs,K,13467,8258,13467,8248,0,10
2021-06-28,Syddjurs,M,13026,6998,13026,6982,0,16
2021-06-28,Norddjurs,K,11569,7292,11569,7271,0,21
2021-06-28,Norddjurs,M,11111,5765,11110,5735,1,30
2021-06-28,Favrskov,K,14091,8085,14091,8056,0,29
2021-06-28,Favrskov,M,13312,6187,13311,6149,1,38
2021-06-28,Odder,K,7363,4508,7362,4508,1,0
2021-06-28,Odder,M,6708,3517,6705,3516,3,1
2021-06-28,Randers,K,28189,17083,28188,16920,1,163
2021-06-28,Randers,M,25506,12610,25503,12396,3,214
2021-06-28,Silkeborg,K,27514,16234,27513,16231,1,3
2021-06-28,Silkeborg,M,25535,12890,25532,12886,3,4
2021-06-28,Samsø,K,1349,972,1349,972,0,0
2021-06-28,Samsø,M,1271,774,1271,774,0,0
2021-06-28,Skanderborg,K,18275,10516,18273,10513,2,3
2021-06-28,Skanderborg,M,17203,8357,17195,8353,8,4
2021-06-28,Århus,K,88734,53176,88719,53161,15,15
2021-06-28,Århus,M,77871,41958,77835,41933,36,25
2021-06-28,Ikast-Brande,K,11692,6914,11676,6913,16,1
2021-06-28,Ikast-Brande,M,11236,5645,11199,5640,37,5
2021-06-28,Ringkøbing-Skjern,K,16995,10450,16994,10376,1,74
2021-06-28,Ringkøbing-Skjern,M,16159,8471,16156,8391,3,80
2021-06-28,Hedensted,K,13902,8235,13862,8229,40,6
2021-06-28,Hedensted,M,13306,6515,13241,6507,65,8
2021-06-28,Morsø,K,6699,3886,6699,3886,0,0
2021-06-28,Morsø,M,6359,2982,6359,2982,0,0
2021-06-28,Skive,K,13942,8809,13942,8806,0,3
2021-06-28,Skive,M,13353,7180,13353,7177,0,3
2021-06-28,Thisted,K,14059,7686,14057,7679,2,7
2021-06-28,Thisted,M,13405,5965,13405,5961,0,4
2021-06-28,Viborg,K,28283,17327,28279,17269,4,58
2021-06-28,Viborg,M,26225,13573,26223,13509,2,64
2021-06-28,Brønderslev,K,10679,6263,10662,6245,17,18
2021-06-28,Brønderslev,M,10037,4647,10007,4623,30,24
2021-06-28,Frederikshavn,K,19232,11548,19231,11528,1,20
2021-06-28,Frederikshavn,M,17896,9007,17895,8978,1,29
2021-06-28,Vesthimmerland,K,10842,6980,10838,6976,4,4
2021-06-28,Vesthimmerland,M,10209,5559,10201,5549,8,10
2021-06-28,Læsø,K,716,694,716,694,0,0
2021-06-28,Læsø,M,711,687,711,684,0,3
2021-06-28,Rebild,K,8466,4943,8436,4932,30,11
2021-06-28,Rebild,M,8019,3782,7986,3755,33,27
2021-06-28,Mariagerfjord,K,12541,7593,12538,7456,3,137
2021-06-28,Mariagerfjord,M,12165,6281,12162,6129,3,152
2021-06-28,Jammerbugt,K,11576,6782,11540,6772,36,10
2021-06-28,Jammerbugt,M,10917,5324,10876,5312,41,12
2021-06-28,Aalborg,K,58261,34656,57853,34040,408,616
2021-06-28,Aalborg,M,52599,26568,52178,25747,421,821
2021-06-28,Hjørring,K,19941,12402,19939,12013,2,389
2021-06-28,Hjørring,M,18051,9342,18051,8842,0,500
