"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-28,Hovedstaden,K,537630,314390,532526,310140,5104,4250
2021-06-28,Hovedstaden,M,491755,258009,487086,253323,4669,4686
2021-06-28,Midtjylland,K,376764,227296,376607,226891,157,405
2021-06-28,Midtjylland,M,346727,178411,346451,177899,276,512
2021-06-28,Nordjylland,K,173012,103433,172509,102221,503,1212
2021-06-28,Nordjylland,M,160368,80144,159831,78562,537,1582
2021-06-28,Sjælland,K,258793,164600,258125,161661,668,2939
2021-06-28,Sjælland,M,237987,134066,237266,130582,721,3484
2021-06-28,Syddanmark,K,348804,216559,347033,214197,1771,2362
2021-06-28,Syddanmark,M,318875,173305,317130,170473,1745,2832
