"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-07-19;Hovedstaden;K;633112;439644;630891;431020;2221;8624
2021-07-19;Hovedstaden;M;598104;390751;595731;382302;2373;8449
2021-07-19;Midtjylland;K;452490;311836;450359;311066;2131;770
2021-07-19;Midtjylland;M;435927;277180;432950;276397;2977;783
2021-07-19;Nordjylland;K;206987;142444;205009;139940;1978;2504
2021-07-19;Nordjylland;M;202499;126282;199903;123531;2596;2751
2021-07-19;Sjælland;K;297309;221445;296486;220065;823;1380
2021-07-19;Sjælland;M;284751;197099;283681;195643;1070;1456
2021-07-19;Syddanmark;K;415387;291009;413442;287510;1945;3499
2021-07-19;Syddanmark;M;396629;257377;394288;253624;2341;3753
