"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-07-26;Hovedstaden;K;654812;493718;651682;487366;3130;6352
2021-07-26;Hovedstaden;M;618634;448161;616098;441740;2536;6421
2021-07-26;Midtjylland;K;475095;345342;474598;342756;497;2586
2021-07-26;Midtjylland;M;463902;313065;463494;310563;408;2502
2021-07-26;Nordjylland;K;215572;156235;214994;153848;578;2387
2021-07-26;Nordjylland;M;213499;141086;212919;138504;580;2582
2021-07-26;Sjælland;K;305850;242171;304863;241038;987;1133
2021-07-26;Sjælland;M;294131;220014;293153;218858;978;1156
2021-07-26;Syddanmark;K;435763;321400;433992;318323;1771;3077
2021-07-26;Syddanmark;M;421386;290241;419420;286905;1966;3336
