"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-16;Hovedstaden;K;688748;619082;687490;612341;1258;6741
2021-08-16;Hovedstaden;M;648442;582360;647397;575413;1045;6947
2021-08-16;Midtjylland;K;507586;440715;507393;438156;193;2559
2021-08-16;Midtjylland;M;496854;421433;496662;418245;192;3188
2021-08-16;Nordjylland;K;225376;202006;225169;198896;207;3110
2021-08-16;Nordjylland;M;224284;195749;224046;191756;238;3993
2021-08-16;Sjælland;K;319679;294635;319464;292920;215;1715
2021-08-16;Sjælland;M;308468;282239;308228;280229;240;2010
2021-08-16;Syddanmark;K;463696;402491;463228;399148;468;3343
2021-08-16;Syddanmark;M;451363;381321;450898;377407;465;3914
