"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-23;Hovedstaden;K;696160;643303;695516;640879;644;2424
2021-08-23;Hovedstaden;M;654868;606842;654328;604746;540;2096
2021-08-23;Midtjylland;K;511543;467589;511359;466869;184;720
2021-08-23;Midtjylland;M;500672;454097;500520;453402;152;695
2021-08-23;Nordjylland;K;227405;212264;227322;210854;83;1410
2021-08-23;Nordjylland;M;226361;209165;226274;207356;87;1809
2021-08-23;Sjælland;K;321674;303397;321494;302266;180;1131
2021-08-23;Sjælland;M;310419;292065;310236;290899;183;1166
2021-08-23;Syddanmark;K;467635;429322;467114;427164;521;2158
2021-08-23;Syddanmark;M;455667;413956;455191;411352;476;2604
