"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-30;Hovedstaden;K;701844;662205;701208;659509;636;2696
2021-08-30;Hovedstaden;M;659802;623913;659300;621492;502;2421
2021-08-30;Midtjylland;K;514607;485643;514537;485305;70;338
2021-08-30;Midtjylland;M;503581;475045;503513;474697;68;348
2021-08-30;Nordjylland;K;228810;218783;228629;218078;181;705
2021-08-30;Nordjylland;M;227820;216900;227622;216193;198;707
2021-08-30;Sjælland;K;323557;310027;323423;309145;134;882
2021-08-30;Sjælland;M;312355;298963;312245;298118;110;845
2021-08-30;Syddanmark;K;470907;445819;470651;444469;256;1350
2021-08-30;Syddanmark;M;459030;432491;458776;431038;254;1453
