"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-13;Hovedstaden;K;708090;683088;707749;682027;341;1061
2021-09-13;Hovedstaden;M;665195;642741;664909;641842;286;899
2021-09-13;Midtjylland;K;518464;503526;518443;503351;21;175
2021-09-13;Midtjylland;M;506973;492300;506936;492137;37;163
2021-09-13;Nordjylland;K;229997;223965;229887;223367;110;598
2021-09-13;Nordjylland;M;229177;222657;229070;222030;107;627
2021-09-13;Sjælland;K;325642;317282;325556;317010;86;272
2021-09-13;Sjælland;M;314286;306300;314208;306020;78;280
2021-09-13;Syddanmark;K;474144;460547;473982;460125;162;422
2021-09-13;Syddanmark;M;462147;448374;462013;447951;134;423
