"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-20;Hovedstaden;K;710111;689171;709893;688441;218;730
2021-09-20;Hovedstaden;M;666956;647847;666740;647264;216;583
2021-09-20;Midtjylland;K;519465;507125;519459;507113;6;12
2021-09-20;Midtjylland;M;507816;495636;507807;495613;9;23
2021-09-20;Nordjylland;K;230428;225588;230299;225208;129;380
2021-09-20;Nordjylland;M;229608;224297;229497;223921;111;376
2021-09-20;Sjælland;K;326291;319568;326231;319426;60;142
2021-09-20;Sjælland;M;314939;308499;314862;308365;77;134
2021-09-20;Syddanmark;K;475110;464303;475020;463938;90;365
2021-09-20;Syddanmark;M;463122;452059;463034;451718;88;341
