"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-10-06;Hovedstaden;K;713219;697828;14737;713002;697302;14101;217;526;636
2021-10-06;Hovedstaden;M;669294;654794;11363;669117;654424;10350;177;370;1013
2021-10-06;Midtjylland;K;521316;513071;12619;521150;512790;11903;166;281;716
2021-10-06;Midtjylland;M;509452;500738;10652;509315;500456;9705;137;282;947
2021-10-06;Nordjylland;K;231055;227430;5005;231012;227382;4832;43;48;173
2021-10-06;Nordjylland;M;230207;226169;4095;230157;226122;3854;50;47;241
2021-10-06;Sjælland;K;327125;322486;7030;327090;322381;6872;35;105;158
2021-10-06;Sjælland;M;315781;311196;5901;315728;311087;5717;53;109;184
2021-10-06;Syddanmark;K;476686;469415;10012;476576;469173;9594;110;242;418
2021-10-06;Syddanmark;M;464531;456968;9058;464427;456748;8447;104;220;611
