"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-10-13;Hovedstaden;K;714265;700121;19536;714051;699603;18396;214;518;1140
2021-10-13;Hovedstaden;M;670162;656677;15913;669927;656218;14847;235;459;1066
2021-10-13;Midtjylland;K;521943;514334;17045;521821;514102;15981;122;232;1064
2021-10-13;Midtjylland;M;509989;501817;14246;509872;501595;13526;117;222;720
2021-10-13;Nordjylland;K;231268;227948;6713;231250;227871;6255;18;77;458
2021-10-13;Nordjylland;M;230436;226661;5495;230407;226586;5160;29;75;335
2021-10-13;Sjælland;K;327477;323147;9682;327452;323077;9359;25;70;323
2021-10-13;Sjælland;M;316035;311791;7675;316020;311718;7479;15;73;196
2021-10-13;Syddanmark;K;477245;470607;14165;477171;470440;13337;74;167;828
2021-10-13;Syddanmark;M;465008;458091;12107;464928;457915;11566;80;176;541
