"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-16;Hovedstaden;K;724402;708366;87243;723577;708074;84322;825;292;2921
2021-11-16;Hovedstaden;M;678817;663249;58085;678054;663044;56108;763;205;1977
2021-11-16;Midtjylland;K;528811;519130;71553;528177;518907;68544;634;223;3009
2021-11-16;Midtjylland;M;516490;506140;44960;515808;505895;43165;682;245;1795
2021-11-16;Nordjylland;K;233733;229626;29763;233622;229584;29338;111;42;425
2021-11-16;Nordjylland;M;232728;228250;17838;232595;228188;17611;133;62;227
2021-11-16;Sjælland;K;332065;325749;47428;331813;325684;46004;252;65;1424
2021-11-16;Sjælland;M;320542;314118;31749;320246;314039;30731;296;79;1018
2021-11-16;Syddanmark;K;484040;474614;61590;483556;474489;59724;484;125;1866
2021-11-16;Syddanmark;M;471744;461904;40229;471285;461757;39166;459;147;1063
