"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-19;Hovedstaden;K;726363;709303;97957;725788;709008;94113;575;295;3844
2021-11-19;Hovedstaden;M;680625;664087;66257;680126;663815;63302;499;272;2955
2021-11-19;Midtjylland;K;530332;519764;80778;529915;519569;77783;417;195;2995
2021-11-19;Midtjylland;M;518053;506751;51373;517629;506589;49144;424;162;2229
2021-11-19;Nordjylland;K;234347;229869;32402;234123;229762;30965;224;107;1437
2021-11-19;Nordjylland;M;233406;228530;19555;233174;228417;18624;232;113;931
2021-11-19;Sjælland;K;332917;326094;53258;332685;326011;51435;232;83;1823
2021-11-19;Sjælland;M;321341;314430;36345;321141;314342;34796;200;88;1549
2021-11-19;Syddanmark;K;485112;475096;69267;484858;474971;66222;254;125;3045
2021-11-19;Syddanmark;M;472872;462421;46850;472618;462272;44140;254;149;2710
