"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-30;Hovedstaden;K;731277;712569;137074;730791;712161;132676;486;408;4398
2021-11-30;Hovedstaden;M;685163;666865;97582;684743;666540;94158;420;325;3424
2021-11-30;Midtjylland;K;533529;521663;117100;533039;521350;112500;490;313;4600
2021-11-30;Midtjylland;M;521256;508586;81614;520769;508277;77938;487;309;3676
2021-11-30;Nordjylland;K;235930;230767;47377;235806;230667;45888;124;100;1489
2021-11-30;Nordjylland;M;235097;229351;31841;234911;229263;30611;186;88;1230
2021-11-30;Sjælland;K;335013;327347;75938;334829;327218;73822;184;129;2116
2021-11-30;Sjælland;M;323710;315705;54458;323447;315557;52839;263;148;1619
2021-11-30;Syddanmark;K;488132;477002;102259;487658;476790;98663;474;212;3596
2021-11-30;Syddanmark;M;476030;464198;73638;475515;464027;70892;515;171;2746
