"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-10;Hovedstaden;K;740580;717824;196385;739174;717180;186575;1406;644;9810
2021-12-10;Hovedstaden;M;694194;671544;145927;692799;670930;137454;1395;614;8473
2021-12-10;Midtjylland;K;544212;525754;155475;542637;525231;149563;1575;523;5912
2021-12-10;Midtjylland;M;532177;512664;112255;530595;512183;107565;1582;481;4690
2021-12-10;Nordjylland;K;238801;232081;65558;238502;231949;63822;299;132;1736
2021-12-10;Nordjylland;M;238329;230813;46675;237985;230656;45296;344;157;1379
2021-12-10;Sjælland;K;339202;329736;100936;338524;329536;97788;678;200;3148
2021-12-10;Sjælland;M;328110;318040;73791;327419;317841;71178;691;199;2613
2021-12-10;Syddanmark;K;497178;480555;137744;495876;480229;132532;1302;326;5212
2021-12-10;Syddanmark;M;485801;467863;101403;484291;467526;97397;1510;337;4006
