"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-14;Hovedstaden;K;746140;719463;231902;745092;718777;216121;1048;686;15781
2021-12-14;Hovedstaden;M;699959;672998;180757;698902;672423;165039;1057;575;15718
2021-12-14;Midtjylland;K;548742;526705;173169;547850;526288;163878;892;417;9291
2021-12-14;Midtjylland;M;536894;513522;129185;536064;513188;120492;830;334;8693
2021-12-14;Nordjylland;K;240950;232601;71929;240478;232452;69584;472;149;2345
2021-12-14;Nordjylland;M;240634;231344;51795;240105;231168;49842;529;176;1953
2021-12-14;Sjælland;K;341571;330529;115638;340910;330336;110157;661;193;5481
2021-12-14;Sjælland;M;330669;318798;87318;329940;318619;82195;729;179;5123
2021-12-14;Syddanmark;K;500835;481608;154864;499795;481297;147285;1040;311;7579
2021-12-14;Syddanmark;M;489655;468869;116057;488496;468592;109308;1159;277;6749
