"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-21;Hovedstaden;K;760837;724193;361155;759493;723413;346189;1344;780;14966
2021-12-21;Hovedstaden;M;715232;677355;311511;713796;676641;295865;1436;714;15646
2021-12-21;Midtjylland;K;558647;529803;270040;557478;529178;255623;1169;625;14417
2021-12-21;Midtjylland;M;547163;516626;232155;545971;515980;216299;1192;646;15856
2021-12-21;Nordjylland;K;245112;233948;112540;244733;233819;104086;379;129;8454
2021-12-21;Nordjylland;M;244919;232668;92099;244488;232500;83019;431;168;9080
2021-12-21;Sjælland;K;347490;332313;174717;346896;332071;166578;594;242;8139
2021-12-21;Sjælland;M;336983;320795;148845;336419;320530;139940;564;265;8905
2021-12-21;Syddanmark;K;509210;484294;248051;508210;483674;234311;1000;620;13740
2021-12-21;Syddanmark;M;498498;471599;210727;497391;470940;196081;1107;659;14646
