"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-22;Hovedstaden;K;762273;724789;373523;760837;724193;361155;1436;596;12368
2021-12-22;Hovedstaden;M;716661;677987;325166;715232;677355;311511;1429;632;13655
2021-12-22;Midtjylland;K;559877;530624;283693;558647;529803;270040;1230;821;13653
2021-12-22;Midtjylland;M;548517;517560;247941;547163;516626;232155;1354;934;15786
2021-12-22;Nordjylland;K;245795;234231;120881;245112;233948;112540;683;283;8341
2021-12-22;Nordjylland;M;245619;232983;101601;244919;232668;92099;700;315;9502
2021-12-22;Sjælland;K;348049;332527;183447;347490;332313;174717;559;214;8730
2021-12-22;Sjælland;M;337607;321035;158677;336983;320795;148845;624;240;9832
2021-12-22;Syddanmark;K;510294;484892;261027;509210;484294;248051;1084;598;12976
2021-12-22;Syddanmark;M;499578;472223;225089;498498;471599;210727;1080;624;14362
