"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-28;Hovedstaden;K;764825;727317;417612;763966;726212;404525;859;1105;13087
2021-12-28;Hovedstaden;M;719410;680633;371680;718579;679549;359504;831;1084;12176
2021-12-28;Midtjylland;K;561639;533592;317502;560931;531781;305968;708;1811;11534
2021-12-28;Midtjylland;M;550656;520835;285377;549885;518942;274177;771;1893;11200
2021-12-28;Nordjylland;K;247155;234982;141425;246892;234495;137063;263;487;4362
2021-12-28;Nordjylland;M;247000;233759;126616;246755;233295;122204;245;464;4412
2021-12-28;Sjælland;K;349233;333709;206602;348781;333135;199839;452;574;6763
2021-12-28;Sjælland;M;338936;322320;184819;338437;321743;178149;499;577;6670
2021-12-28;Syddanmark;K;512013;487496;288703;511459;485803;278423;554;1693;10280
2021-12-28;Syddanmark;M;501419;475096;257110;500831;473273;246906;588;1823;10204
