"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-31;Hovedstaden;K;766566;729669;443781;766092;729012;438170;474;657;5611
2021-12-31;Hovedstaden;M;721282;682967;398752;720753;682299;392320;529;668;6432
2021-12-31;Midtjylland;K;563441;537325;342513;563135;536551;337997;306;774;4516
2021-12-31;Midtjylland;M;552470;524762;312058;552130;523899;306763;340;863;5295
2021-12-31;Nordjylland;K;247846;236464;153182;247686;236190;150236;160;274;2946
2021-12-31;Nordjylland;M;247708;235393;139607;247543;235066;136088;165;327;3519
2021-12-31;Sjælland;K;350093;335194;221176;349980;334831;218560;113;363;2616
2021-12-31;Sjælland;M;339850;323949;200041;339702;323536;197002;148;413;3039
2021-12-31;Syddanmark;K;513405;490999;310574;513133;490073;305806;272;926;4768
2021-12-31;Syddanmark;M;502814;478781;280434;502518;477790;274880;296;991;5554
