"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-03;Hovedstaden;K;767091;731113;451131;766751;729888;446489;340;1225;4642
2022-01-03;Hovedstaden;M;721905;684450;405896;721510;683164;401455;395;1286;4441
2022-01-03;Midtjylland;K;563596;537651;346018;563448;537339;342929;148;312;3089
2022-01-03;Midtjylland;M;552589;525123;315679;552467;524779;312517;122;344;3162
2022-01-03;Nordjylland;K;247935;237313;156392;247907;236668;154416;28;645;1976
2022-01-03;Nordjylland;M;247821;236222;142989;247776;235624;140948;45;598;2041
2022-01-03;Sjælland;K;350331;336052;224644;350129;335330;222148;202;722;2496
2022-01-03;Sjælland;M;340097;324881;203673;339901;324081;201080;196;800;2593
2022-01-03;Syddanmark;K;513746;491887;315211;513414;491126;310923;332;761;4288
2022-01-03;Syddanmark;M;503164;479687;285255;502829;478918;280845;335;769;4410
