"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-04;Hovedstaden;K;767571;732997;458640;767091;731113;451131;480;1884;7509
2022-01-04;Hovedstaden;M;722367;686370;413123;721905;684450;405896;462;1920;7227
2022-01-04;Midtjylland;K;564049;539402;353841;563596;537651;346018;453;1751;7823
2022-01-04;Midtjylland;M;552965;526925;324026;552589;525123;315679;376;1802;8347
2022-01-04;Nordjylland;K;248058;237825;158874;247935;237313;156392;123;512;2482
2022-01-04;Nordjylland;M;247951;236839;145683;247821;236222;142989;130;617;2694
2022-01-04;Sjælland;K;350515;336745;228180;350331;336052;224644;184;693;3536
2022-01-04;Sjælland;M;340258;325570;207390;340097;324881;203673;161;689;3717
2022-01-04;Syddanmark;K;514101;493308;321772;513746;491887;315211;355;1421;6561
2022-01-04;Syddanmark;M;503485;481270;291922;503164;479687;285255;321;1583;6667
