"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-07;Hovedstaden;K;768930;738152;480352;768552;736287;473504;378;1865;6848
2022-01-07;Hovedstaden;M;723820;691598;435264;723423;689707;428171;397;1891;7093
2022-01-07;Midtjylland;K;564926;543737;370841;564638;542304;365657;288;1433;5184
2022-01-07;Midtjylland;M;553967;531456;342450;553670;529998;336808;297;1458;5642
2022-01-07;Nordjylland;K;248599;239439;165324;248445;239036;163354;154;403;1970
2022-01-07;Nordjylland;M;248380;238498;153018;248207;238061;150796;173;437;2222
2022-01-07;Sjælland;K;351069;338978;237073;350902;338238;234525;167;740;2548
2022-01-07;Sjælland;M;340805;327907;216910;340651;327147;214156;154;760;2754
2022-01-07;Syddanmark;K;515034;496231;337905;514737;495244;333095;297;987;4810
2022-01-07;Syddanmark;M;504465;484454;309218;504123;483404;303948;342;1050;5270
