"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-13;Hovedstaden;K;770966;747149;508800;770722;746075;504431;244;1074;4369
2022-01-13;Hovedstaden;M;725783;700730;463894;725551;699623;459266;232;1107;4628
2022-01-13;Midtjylland;K;566052;549981;390554;565826;549034;387104;226;947;3450
2022-01-13;Midtjylland;M;555073;537831;364798;554891;536825;360836;182;1006;3962
2022-01-13;Nordjylland;K;249293;242257;174447;249220;241762;173412;73;495;1035
2022-01-13;Nordjylland;M;249147;241417;163404;249064;240904;162150;83;513;1254
2022-01-13;Sjælland;K;351745;342372;248990;351603;341713;246186;142;659;2804
2022-01-13;Sjælland;M;341510;331565;229838;341339;330901;226864;171;664;2974
2022-01-13;Syddanmark;K;516281;502160;358593;516135;501428;355247;146;732;3346
2022-01-13;Syddanmark;M;505901;490770;332589;505685;490045;328809;216;725;3780
