"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-14;Hovedstaden;K;771221;747869;514006;770966;747149;508800;255;720;5206
2022-01-14;Hovedstaden;M;726019;701473;469396;725783;700730;463894;236;743;5502
2022-01-14;Midtjylland;K;566246;550818;394922;566052;549981;390554;194;837;4368
2022-01-14;Midtjylland;M;555268;538759;369642;555073;537831;364798;195;928;4844
2022-01-14;Nordjylland;K;249391;242662;175968;249293;242257;174447;98;405;1521
2022-01-14;Nordjylland;M;249239;241836;165148;249147;241417;163404;92;419;1744
2022-01-14;Sjælland;K;351896;342766;251453;351745;342372;248990;151;394;2463
2022-01-14;Sjælland;M;341651;331968;232503;341510;331565;229838;141;403;2665
2022-01-14;Syddanmark;K;516450;502905;362268;516281;502160;358593;169;745;3675
2022-01-14;Syddanmark;M;506108;491527;336806;505901;490770;332589;207;757;4217
