"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-19;Hovedstaden;K;772266;751015;534999;772094;750497;531081;172;518;3918
2022-01-19;Hovedstaden;M;727064;704623;491039;726907;704134;486954;157;489;4085
2022-01-19;Midtjylland;K;566810;553484;409249;566648;552858;405872;162;626;3377
2022-01-19;Midtjylland;M;555873;541433;386604;555691;540805;382646;182;628;3958
2022-01-19;Nordjylland;K;249624;243693;182624;249578;243530;181385;46;163;1239
2022-01-19;Nordjylland;M;249472;242891;173364;249413;242714;171683;59;177;1681
2022-01-19;Sjælland;K;352316;344213;259932;352241;343987;258590;75;226;1342
2022-01-19;Sjælland;M;342116;333517;242333;342049;333281;240830;67;236;1503
2022-01-19;Syddanmark;K;516981;505017;375830;516921;504555;373436;60;462;2394
2022-01-19;Syddanmark;M;506705;493742;352900;506609;493225;349774;96;517;3126
