"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-27;København;K;260508;254069;177582;260489;253960;176766;19;109;816
2022-01-27;København;M;247304;240596;167736;247288;240491;166929;16;105;807
2022-01-27;Frederiksberg;K;46190;45267;34015;46190;45258;33904;0;9;111
2022-01-27;Frederiksberg;M;40598;39635;29301;40596;39620;29186;2;15;115
2022-01-27;Ballerup;K;20227;19730;14915;20226;19721;14881;1;9;34
2022-01-27;Ballerup;M;18780;18272;13315;18782;18258;13282;-2;14;33
2022-01-27;Brøndby;K;13427;13008;9365;13426;13000;9336;1;8;29
2022-01-27;Brøndby;M;12442;12036;8438;12443;12031;8413;-1;5;25
2022-01-27;Dragør;K;6348;6172;4754;6347;6166;4744;1;6;10
2022-01-27;Dragør;M;5932;5769;4281;5928;5762;4275;4;7;6
2022-01-27;Gentofte;K;32759;32017;24230;32761;31999;24181;-2;18;49
2022-01-27;Gentofte;M;29473;28694;21212;29469;28670;21151;4;24;61
2022-01-27;Gladsaxe;K;28231;27475;20111;28231;27459;20055;0;16;56
2022-01-27;Gladsaxe;M;27282;26448;18731;27292;26446;18673;-10;2;58
2022-01-27;Glostrup;K;9309;9063;6657;9307;9057;6639;2;6;18
2022-01-27;Glostrup;M;8944;8687;6107;8943;8684;6090;1;3;17
2022-01-27;Herlev;K;11788;11461;8531;11785;11452;8504;3;9;27
2022-01-27;Herlev;M;10877;10511;7492;10879;10510;7476;-2;1;16
2022-01-27;Albertslund;K;10550;10214;7107;10549;10209;7091;1;5;16
2022-01-27;Albertslund;M;10099;9729;6613;10093;9721;6586;6;8;27
2022-01-27;Hvidovre;K;21271;20599;14899;21264;20586;14857;7;13;42
2022-01-27;Hvidovre;M;20241;19594;13795;20238;19583;13737;3;11;58
2022-01-27;Høje Tåstrup;K;20011;19434;13912;20011;19424;13887;0;10;25
2022-01-27;Høje Tåstrup;M;19683;19046;13294;19684;19036;13271;-1;10;23
2022-01-27;Lyngby-Taarbæk;K;24891;24307;18455;24882;24297;18412;9;10;43
2022-01-27;Lyngby-Taarbæk;M;23775;23093;16888;23776;23084;16841;-1;9;47
2022-01-27;Rødovre;K;16722;16238;11896;16722;16230;11857;0;8;39
2022-01-27;Rødovre;M;15436;14914;10490;15434;14902;10459;2;12;31
2022-01-27;Ishøj;K;8215;7959;5328;8211;7953;5309;4;6;19
2022-01-27;Ishøj;M;7936;7663;5097;7937;7661;5082;-1;2;15
2022-01-27;Tårnby;K;17550;17110;12757;17550;17099;12732;0;11;25
2022-01-27;Tårnby;M;16684;16178;11644;16679;16164;11617;5;14;27
2022-01-27;Vallensbæk;K;6383;6201;4436;6383;6199;4425;0;2;11
2022-01-27;Vallensbæk;M;6179;5992;4223;6180;5992;4210;-1;0;13
2022-01-27;Furesø;K;17682;17232;13118;17680;17227;13089;2;5;29
2022-01-27;Furesø;M;16574;16140;11892;16573;16133;11865;1;7;27
2022-01-27;Allerød;K;11285;11049;8469;11285;11047;8457;0;2;12
2022-01-27;Allerød;M;10712;10468;7908;10708;10458;7892;4;10;16
2022-01-27;Fredensborg;K;17479;17106;13009;17479;17097;12985;0;9;24
2022-01-27;Fredensborg;M;16065;15648;11758;16064;15642;11723;1;6;35
2022-01-27;Helsingør;K;26989;26450;20542;26991;26440;20508;-2;10;34
2022-01-27;Helsingør;M;24738;24147;18205;24736;24140;18169;2;7;36
2022-01-27;Hillerød;K;22692;22238;16828;22691;22227;16787;1;11;41
2022-01-27;Hillerød;M;21391;20869;15426;21387;20856;15374;4;13;52
2022-01-27;Hørsholm;K;11318;11102;8735;11317;11098;8719;1;4;16
2022-01-27;Hørsholm;M;9811;9587;7374;9810;9586;7360;1;1;14
2022-01-27;Rudersdal;K;24971;24425;18839;24974;24410;18799;-3;15;40
2022-01-27;Rudersdal;M;23530;22963;17309;23527;22944;17260;3;19;49
2022-01-27;Egedal;K;18777;18371;13668;18777;18364;13650;0;7;18
2022-01-27;Egedal;M;18169;17721;12958;18173;17714;12941;-4;7;17
2022-01-27;Frederikssund;K;19718;19350;14965;19720;19343;14948;-2;7;17
2022-01-27;Frederikssund;M;18808;18348;13696;18810;18340;13680;-2;8;16
2022-01-27;Greve;K;20847;20352;15216;20846;20343;15187;1;9;29
2022-01-27;Greve;M;19908;19399;14233;19903;19390;14195;5;9;38
2022-01-27;Køge;K;25687;25083;19089;25683;25058;19026;4;25;63
2022-01-27;Køge;M;24752;24086;17738;24752;24065;17683;0;21;55
2022-01-27;Halsnæs;K;13233;12936;10153;13232;12932;10125;1;4;28
2022-01-27;Halsnæs;M;12766;12472;9557;12762;12459;9531;4;13;26
2022-01-27;Roskilde;K;38631;37870;28945;38629;37857;28885;2;13;60
2022-01-27;Roskilde;M;36421;35603;26333;36413;35580;26271;8;23;62
2022-01-27;Solrød;K;9991;9775;7294;9984;9766;7228;7;9;66
2022-01-27;Solrød;M;9512;9290;6856;9507;9283;6796;5;7;60
2022-01-27;Gribskov;K;17306;16961;13429;17303;16951;13408;3;10;21
2022-01-27;Gribskov;M;16861;16495;12740;16858;16489;12716;3;6;24
2022-01-27;Odsherred;K;13911;13664;11040;13909;13659;10947;2;5;93
2022-01-27;Odsherred;M;13732;13510;10550;13728;13502;10448;4;8;102
2022-01-27;Holbæk;K;30860;30275;23158;30859;30266;23098;1;9;60
2022-01-27;Holbæk;M;29815;29166;21496;29816;29157;21439;-1;9;57
2022-01-27;Faxe;K;15201;14879;11524;15198;14866;11476;3;13;48
2022-01-27;Faxe;M;15252;14906;11116;15249;14900;11052;3;6;64
2022-01-27;Kalundborg;K;19963;19598;15364;19960;19587;15321;3;11;43
2022-01-27;Kalundborg;M;19846;19446;14624;19844;19435;14576;2;11;48
2022-01-27;Ringsted;K;14256;13950;10554;14258;13938;10510;-2;12;44
2022-01-27;Ringsted;M;13942;13626;9990;13938;13605;9948;4;21;42
2022-01-27;Slagelse;K;33043;32276;24942;33033;32261;24895;10;15;47
2022-01-27;Slagelse;M;31974;31282;23261;31969;31265;23210;5;17;51
2022-01-27;Stevns;K;9722;9525;7496;9716;9517;7438;6;8;58
2022-01-27;Stevns;M;9760;9542;7262;9761;9536;7194;-1;6;68
2022-01-27;Sorø;K;12729;12519;9726;12729;12511;9684;0;8;42
2022-01-27;Sorø;M;12475;12223;9101;12474;12219;9059;1;4;42
2022-01-27;Lejre;K;12030;11790;9043;12032;11789;9016;-2;1;27
2022-01-27;Lejre;M;11706;11486;8743;11705;11480;8716;1;6;27
2022-01-27;Lolland;K;16483;16209;12941;16479;16195;12899;4;14;42
2022-01-27;Lolland;M;16368;16043;12330;16365;16035;12277;3;8;53
2022-01-27;Næstved;K;35317;34662;26655;35317;34650;26595;0;12;60
2022-01-27;Næstved;M;33966;33252;24698;33966;33239;24631;0;13;67
2022-01-27;Guldborgsund;K;25155;24732;19587;25153;24724;19550;2;8;37
2022-01-27;Guldborgsund;M;24582;24108;18434;24582;24100;18397;0;8;37
2022-01-27;Vordingborg;K;18934;18595;14678;18935;18583;14622;-1;12;56
2022-01-27;Vordingborg;M;18518;18111;13751;18516;18099;13701;2;12;50
2022-01-27;Bornholm;K;17296;16969;13847;17294;16956;13826;2;13;21
2022-01-27;Bornholm;M;16757;16414;12911;16759;16407;12885;-2;7;26
2022-01-27;Middelfart;K;17113;16805;13316;17112;16800;13285;1;5;31
2022-01-27;Middelfart;M;16827;16488;12679;16821;16474;12625;6;14;54
2022-01-27;Assens;K;17534;17197;13445;17533;17187;13403;1;10;42
2022-01-27;Assens;M;17462;17069;12803;17464;17060;12762;-2;9;41
2022-01-27;Faaborg-Midtfyn;K;22209;21772;16905;22203;21754;16818;6;18;87
2022-01-27;Faaborg-Midtfyn;M;22029;21551;16212;22026;21540;16129;3;11;83
2022-01-27;Kerteminde;K;10489;10270;8092;10487;10264;8072;2;6;20
2022-01-27;Kerteminde;M;10039;9807;7454;10041;9803;7444;-2;4;10
2022-01-27;Nyborg;K;14032;13757;10644;14034;13757;10638;-2;0;6
2022-01-27;Nyborg;M;13525;13240;9964;13519;13228;9941;6;12;23
2022-01-27;Odense;K;88173;86301;64806;88169;86263;64572;4;38;234
2022-01-27;Odense;M;84134;82152;59419;84129;82104;59130;5;48;289
2022-01-27;Svendborg;K;25604;25171;19615;25596;25148;19578;8;23;37
2022-01-27;Svendborg;M;24971;24463;18223;24965;24445;18176;6;18;47
2022-01-27;Nordfyn;K;12552;12280;9499;12550;12274;9481;2;6;18
2022-01-27;Nordfyn;M;12437;12145;9037;12432;12135;9023;5;10;14
2022-01-27;Langeland;K;5292;5219;4277;5290;5216;4275;2;3;2
2022-01-27;Langeland;M;5285;5188;4154;5282;5185;4147;3;3;7
2022-01-27;Ærø;K;2634;2592;2193;2634;2592;2191;0;0;2
2022-01-27;Ærø;M;2648;2595;2096;2647;2593;2096;1;2;0
2022-01-27;Haderslev;K;22952;22534;17198;22953;22528;17138;-1;6;60
2022-01-27;Haderslev;M;22701;22209;16317;22700;22202;16257;1;7;60
2022-01-27;Billund;K;11055;10854;8320;11057;10849;8310;-2;5;10
2022-01-27;Billund;M;11148;10930;8195;11152;10931;8181;-4;-1;14
2022-01-27;Sønderborg;K;31151;30554;23836;31148;30530;23776;3;24;60
2022-01-27;Sønderborg;M;30533;29898;22507;30530;29888;22441;3;10;66
2022-01-27;Tønder;K;15060;14773;11397;15064;14763;11336;-4;10;61
2022-01-27;Tønder;M;14893;14556;10742;14890;14546;10695;3;10;47
2022-01-27;Esbjerg;K;48165;47268;36001;48160;47246;35891;5;22;110
2022-01-27;Esbjerg;M;47617;46648;34218;47615;46623;34093;2;25;125
2022-01-27;Fanø;K;1532;1510;1241;1532;1510;1240;0;0;1
2022-01-27;Fanø;M;1433;1409;1124;1432;1408;1123;1;1;1
2022-01-27;Varde;K;20513;20102;15585;20513;20094;15558;0;8;27
2022-01-27;Varde;M;20690;20275;15288;20687;20270;15251;3;5;37
2022-01-27;Vejen;K;17386;17032;12953;17379;17017;12925;7;15;28
2022-01-27;Vejen;M;17609;17185;12537;17607;17178;12515;2;7;22
2022-01-27;Aabenraa;K;23889;23473;18092;23889;23464;18048;0;9;44
2022-01-27;Aabenraa;M;23399;22937;17123;23395;22918;17084;4;19;39
2022-01-27;Fredericia;K;21798;21371;16530;21796;21357;16505;2;14;25
2022-01-27;Fredericia;M;21278;20830;15732;21267;20815;15692;11;15;40
2022-01-27;Horsens;K;38856;38130;28614;38856;38092;28521;0;38;93
2022-01-27;Horsens;M;38143;37285;27085;38141;37247;26981;2;38;104
2022-01-27;Kolding;K;38978;38240;28329;38976;38223;28236;2;17;93
2022-01-27;Kolding;M;38005;37223;26857;38004;37208;26767;1;15;90
2022-01-27;Vejle;K;49364;48459;35998;49360;48435;35901;4;24;97
2022-01-27;Vejle;M;48557;47543;34319;48548;47522;34217;9;21;102
2022-01-27;Herning;K;37441;36740;27599;37435;36726;27517;6;14;82
2022-01-27;Herning;M;37232;36465;26637;37229;36455;26564;3;10;73
2022-01-27;Holstebro;K;24977;24504;18629;24978;24503;18578;-1;1;51
2022-01-27;Holstebro;M;24440;23904;17410;24435;23885;17350;5;19;60
2022-01-27;Lemvig;K;8184;8048;6375;8183;8042;6362;1;6;13
2022-01-27;Lemvig;M;8391;8243;6394;8388;8238;6378;3;5;16
2022-01-27;Struer;K;8942;8777;6874;8942;8777;6867;0;0;7
2022-01-27;Struer;M;8905;8740;6558;8903;8737;6554;2;3;4
2022-01-27;Syddjurs;K;18597;18243;14338;18597;18230;14288;0;13;50
2022-01-27;Syddjurs;M;18346;17997;13872;18344;17981;13811;2;16;61
2022-01-27;Norddjurs;K;15438;15161;12144;15438;15150;12103;0;11;41
2022-01-27;Norddjurs;M;15851;15541;11964;15851;15536;11932;0;5;32
2022-01-27;Favrskov;K;20760;20320;15286;20756;20305;15253;4;15;33
2022-01-27;Favrskov;M;20656;20204;14885;20654;20189;14848;2;15;37
2022-01-27;Odder;K;10183;9986;7977;10183;9984;7956;0;2;21
2022-01-27;Odder;M;9795;9563;7416;9794;9555;7403;1;8;13
2022-01-27;Randers;K;41849;41044;31247;41845;41030;31143;4;14;104
2022-01-27;Randers;M;40778;39897;29487;40779;39886;29339;-1;11;148
2022-01-27;Silkeborg;K;40981;40148;30335;40978;40128;30218;3;20;117
2022-01-27;Silkeborg;M;39992;39146;29129;39990;39120;29042;2;26;87
2022-01-27;Samsø;K;1644;1619;1346;1644;1619;1346;0;0;0
2022-01-27;Samsø;M;1606;1586;1262;1607;1587;1262;-1;-1;0
2022-01-27;Skanderborg;K;27348;26724;20244;27346;26714;20187;2;10;57
2022-01-27;Skanderborg;M;26631;25969;19439;26627;25949;19381;4;20;58
2022-01-27;Århus;K;151780;148669;112340;151759;148603;111912;21;66;428
2022-01-27;Århus;M;144296;140888;103634;144291;140839;103201;5;49;433
2022-01-27;Ikast-Brande;K;17079;16765;12522;17076;16758;12501;3;7;21
2022-01-27;Ikast-Brande;M;17273;16923;12315;17270;16915;12278;3;8;37
2022-01-27;Ringkøbing-Skjern;K;23318;22885;17610;23315;22880;17597;3;5;13
2022-01-27;Ringkøbing-Skjern;M;23613;23148;17235;23611;23145;17218;2;3;17
2022-01-27;Hedensted;K;19604;19278;14880;19604;19259;14848;0;19;32
2022-01-27;Hedensted;M;19996;19652;14591;19999;19641;14548;-3;11;43
2022-01-27;Morsø;K;8527;8331;6496;8525;8320;6453;2;11;43
2022-01-27;Morsø;M;8532;8343;6218;8533;8335;6140;-1;8;78
2022-01-27;Skive;K;19243;18917;14558;19241;18906;14534;2;11;24
2022-01-27;Skive;M;19589;19213;14402;19593;19207;14376;-4;6;26
2022-01-27;Thisted;K;18227;17848;13968;18228;17839;13948;-1;9;20
2022-01-27;Thisted;M;18118;17676;13332;18113;17668;13299;5;8;33
2022-01-27;Viborg;K;41156;40366;30491;41147;40342;30421;9;24;70
2022-01-27;Viborg;M;40893;40025;29242;40883;39993;29152;10;32;90
2022-01-27;Brønderslev;K;15220;14908;11340;15220;14907;11323;0;1;17
2022-01-27;Brønderslev;M;15280;14904;10888;15279;14900;10867;1;4;21
2022-01-27;Frederikshavn;K;25230;24814;19670;25227;24813;19658;3;1;12
2022-01-27;Frederikshavn;M;24955;24449;18645;24954;24442;18633;1;7;12
2022-01-27;Vesthimmerland;K;14999;14696;11429;14997;14688;11411;2;8;18
2022-01-27;Vesthimmerland;M;15070;14715;11005;15073;14715;10993;-3;0;12
2022-01-27;Læsø;K;770;755;641;770;755;640;0;0;1
2022-01-27;Læsø;M;761;751;642;761;751;642;0;0;0
2022-01-27;Rebild;K;12669;12396;9301;12668;12393;9288;1;3;13
2022-01-27;Rebild;M;12823;12515;9200;12820;12510;9187;3;5;13
2022-01-27;Mariagerfjord;K;17429;17022;13287;17428;17020;13278;1;2;9
2022-01-27;Mariagerfjord;M;17818;17371;13107;17819;17370;13091;-1;1;16
2022-01-27;Jammerbugt;K;16133;15779;12301;16131;15775;12290;2;4;11
2022-01-27;Jammerbugt;M;16194;15801;11870;16195;15799;11861;-1;2;9
2022-01-27;Aalborg;K;93161;91164;69173;93146;91129;68954;15;35;219
2022-01-27;Aalborg;M;93237;91007;66375;93228;90975;66095;9;32;280
2022-01-27;Hjørring;K;27515;27004;20894;27516;26995;20828;-1;9;66
2022-01-27;Hjørring;M;26983;26410;19522;26987;26408;19441;-4;2;81
