"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-14;Hovedstaden;K;773501;757920;569801;773483;757805;569386;18;115;415
2022-02-14;Hovedstaden;M;728119;711524;523311;728094;711408;522973;25;116;338
2022-02-14;Midtjylland;K;567548;558270;432284;567545;558261;432215;3;9;69
2022-02-14;Midtjylland;M;556623;546427;411475;556621;546419;411409;2;8;66
2022-02-14;Nordjylland;K;249964;245887;192548;249958;245833;192420;6;54;128
2022-02-14;Nordjylland;M;249803;245085;185171;249797;245041;185048;6;44;123
2022-02-14;Sjælland;K;352897;347089;271706;352893;347046;271600;4;43;106
2022-02-14;Sjælland;M;342650;336478;255069;342643;336425;254971;7;53;98
2022-02-14;Syddanmark;K;517578;509433;396036;517572;509403;395907;6;30;129
2022-02-14;Syddanmark;M;507209;498269;375134;507205;498233;375000;4;36;134
