"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-22;Hovedstaden;K;773433;758178;572390;773507;758208;572176;-74;-30;214
2022-02-22;Hovedstaden;M;728022;711806;525295;728094;711837;525127;-72;-31;168
2022-02-22;Midtjylland;K;567409;558473;433686;567466;558481;433471;-57;-8;215
2022-02-22;Midtjylland;M;556467;546598;412661;556519;546612;412510;-52;-14;151
2022-02-22;Nordjylland;K;249885;245951;193076;249931;245988;193057;-46;-37;19
2022-02-22;Nordjylland;M;249699;245123;185684;249730;245143;185647;-31;-20;37
2022-02-22;Sjælland;K;352827;347235;272507;352862;347242;272425;-35;-7;82
2022-02-22;Sjælland;M;342562;336624;255753;342608;336651;255721;-46;-27;32
2022-02-22;Syddanmark;K;517448;509570;397032;517519;509599;396903;-71;-29;129
2022-02-22;Syddanmark;M;507070;498392;376121;507128;498416;376019;-58;-24;102
