"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-03-01;Hovedstaden;K;773372;758407;574345;773445;758442;574135;-73;-35;210
2022-03-01;Hovedstaden;M;727952;712056;526774;728034;712103;526652;-82;-47;122
2022-03-01;Midtjylland;K;567336;558630;434656;567385;558643;434505;-49;-13;151
2022-03-01;Midtjylland;M;556359;546728;413435;556401;546739;413332;-42;-11;103
2022-03-01;Nordjylland;K;249844;246006;193410;249859;246009;193357;-15;-3;53
2022-03-01;Nordjylland;M;249658;245163;186002;249684;245180;185970;-26;-17;32
2022-03-01;Sjælland;K;352841;347416;273118;352862;347411;273058;-21;5;60
2022-03-01;Sjælland;M;342520;336718;256159;342557;336752;256148;-37;-34;11
2022-03-01;Syddanmark;K;517363;509726;397804;517409;509737;397701;-46;-11;103
2022-03-01;Syddanmark;M;507011;498559;376829;507052;498567;376743;-41;-8;86
