"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-03-08;Hovedstaden;K;773282;758547;571453;773333;758577;571252;-51;-30;201
2022-03-08;Hovedstaden;M;727795;712109;513538;727829;712121;513385;-34;-12;153
2022-03-08;Midtjylland;K;567237;558676;433806;567276;558689;433689;-39;-13;117
2022-03-08;Midtjylland;M;556270;546783;407355;556332;546824;407243;-62;-41;112
2022-03-08;Nordjylland;K;249767;245999;192987;249788;246002;192978;-21;-3;9
2022-03-08;Nordjylland;M;249555;245115;183725;249583;245135;183709;-28;-20;16
2022-03-08;Sjælland;K;352794;347468;273035;352828;347486;272997;-34;-18;38
2022-03-08;Sjælland;M;342489;336773;254723;342522;336794;254682;-33;-21;41
2022-03-08;Syddanmark;K;517311;509791;397123;517371;509848;397067;-60;-57;56
2022-03-08;Syddanmark;M;506962;498628;372434;507002;498657;372364;-40;-29;70
