"dato";"Regionsnavn";"sex";"1. stik idag";"2. stik idag";"3. stik i idag";"1. stik igaar";"2. stik igaar";"3. stik igaar";"1. stik difference";"2. stik difference";"3. stik difference"
2022-03-15;Hovedstaden;K;773179;757936;572937;773237;758647;572782;-58;-711;155
2022-03-15;Hovedstaden;M;727668;710236;514914;727745;712199;514767;-77;-1963;147
2022-03-15;Midtjylland;K;567125;558447;434335;567166;558686;434217;-41;-239;118
2022-03-15;Midtjylland;M;556191;546036;407913;556227;546791;407779;-36;-755;134
2022-03-15;Nordjylland;K;249733;245903;193132;249749;245999;193134;-16;-96;-2
2022-03-15;Nordjylland;M;249499;244721;183883;249520;245100;183896;-21;-379;-13
2022-03-15;Sjælland;K;352773;347413;273371;352800;347520;273334;-27;-107;37
2022-03-15;Sjælland;M;342463;336464;254974;342487;336810;254948;-24;-346;26
2022-03-15;Syddanmark;K;517188;509588;397571;517233;509805;397528;-45;-217;43
2022-03-15;Syddanmark;M;506830;497896;372939;506874;498618;372882;-44;-722;57
