"dato";"kommunenavn";"sex";"1. stik idag";"2. stik idag";"3. stik i idag";"1. stik igaar";"2. stik igaar";"3. stik igaar";"1. stik difference";"2. stik difference";"3. stik difference"
2022-03-22;København;K;260678;255190;186764;260691;255198;186670;-13;-8;94
2022-03-22;København;M;247285;240841;167677;247291;240844;167585;-6;-3;92
2022-03-22;Frederiksberg;K;46188;45393;35276;46190;45395;35269;-2;-2;7
2022-03-22;Frederiksberg;M;40586;39631;29231;40590;39631;29218;-4;0;13
2022-03-22;Ballerup;K;20245;19836;15340;20247;19837;15336;-2;-1;4
2022-03-22;Ballerup;M;18825;18411;13670;18825;18412;13667;0;-1;3
2022-03-22;Brøndby;K;13418;13061;9619;13415;13058;9617;3;3;2
2022-03-22;Brøndby;M;12458;12098;8662;12458;12099;8660;0;-1;2
2022-03-22;Dragør;K;6313;6173;4827;6313;6173;4827;0;0;0
2022-03-22;Dragør;M;5919;5788;4345;5919;5789;4345;0;-1;0
2022-03-22;Gentofte;K;32761;32165;24795;32766;32170;24790;-5;-5;5
2022-03-22;Gentofte;M;29412;28766;21351;29413;28765;21347;-1;1;4
2022-03-22;Gladsaxe;K;28186;27610;20757;28186;27611;20753;0;-1;4
2022-03-22;Gladsaxe;M;27235;26577;19128;27236;26578;19123;-1;-1;5
2022-03-22;Glostrup;K;9309;9118;6873;9309;9118;6873;0;0;0
2022-03-22;Glostrup;M;8955;8749;6292;8956;8750;6292;-1;-1;0
2022-03-22;Herlev;K;11770;11494;8746;11772;11496;8748;-2;-2;-2
2022-03-22;Herlev;M;10846;10554;7628;10846;10554;7628;0;0;0
2022-03-22;Albertslund;K;10545;10254;7315;10544;10254;7311;1;0;4
2022-03-22;Albertslund;M;10039;9712;6751;10041;9714;6746;-2;-2;5
2022-03-22;Hvidovre;K;21254;20734;15369;21255;20734;15366;-1;0;3
2022-03-22;Hvidovre;M;20207;19671;14043;20208;19672;14037;-1;-1;6
2022-03-22;Høje Tåstrup;K;20069;19611;14345;20074;19614;14348;-5;-3;-3
2022-03-22;Høje Tåstrup;M;19825;19312;13672;19825;19313;13670;0;-1;2
2022-03-22;Lyngby-Taarbæk;K;24838;24373;18943;24841;24374;18940;-3;-1;3
2022-03-22;Lyngby-Taarbæk;M;23719;23129;17083;23720;23127;17080;-1;2;3
2022-03-22;Rødovre;K;16722;16357;12260;16722;16357;12257;0;0;3
2022-03-22;Rødovre;M;15438;15010;10693;15440;15010;10691;-2;0;2
2022-03-22;Ishøj;K;8233;8004;5511;8236;8007;5514;-3;-3;-3
2022-03-22;Ishøj;M;7964;7713;5243;7964;7713;5240;0;0;3
2022-03-22;Tårnby;K;17560;17243;13131;17562;17245;13133;-2;-2;-2
2022-03-22;Tårnby;M;16692;16300;11858;16697;16305;11863;-5;-5;-5
2022-03-22;Vallensbæk;K;6366;6218;4560;6365;6218;4556;1;0;4
2022-03-22;Vallensbæk;M;6160;6005;4279;6161;6006;4277;-1;-1;2
2022-03-22;Furesø;K;17721;17377;13513;17722;17378;13512;-1;-1;1
2022-03-22;Furesø;M;16589;16244;12121;16591;16246;12122;-2;-2;-1
2022-03-22;Allerød;K;11275;11107;8693;11275;11107;8693;0;0;0
2022-03-22;Allerød;M;10714;10511;8043;10714;10511;8042;0;0;1
2022-03-22;Fredensborg;K;17505;17225;13352;17507;17226;13353;-2;-1;-1
2022-03-22;Fredensborg;M;16080;15757;11946;16082;15759;11944;-2;-2;2
2022-03-22;Helsingør;K;26958;26534;21062;26960;26535;21061;-2;-1;1
2022-03-22;Helsingør;M;24717;24241;18588;24723;24246;18590;-6;-5;-2
2022-03-22;Hillerød;K;22690;22360;17360;22693;22363;17363;-3;-3;-3
2022-03-22;Hillerød;M;21377;20942;15779;21378;20943;15780;-1;-1;-1
2022-03-22;Hørsholm;K;11283;11115;8914;11284;11115;8914;-1;0;0
2022-03-22;Hørsholm;M;9812;9622;7478;9812;9622;7477;0;0;1
2022-03-22;Rudersdal;K;24907;24459;19217;24907;24459;19215;0;0;2
2022-03-22;Rudersdal;M;23448;22981;17461;23450;22982;17460;-2;-1;1
2022-03-22;Egedal;K;18807;18528;14122;18807;18528;14120;0;0;2
2022-03-22;Egedal;M;18158;17811;13180;18157;17811;13178;1;0;2
2022-03-22;Frederikssund;K;19709;19431;15413;19710;19430;15413;-1;1;0
2022-03-22;Frederikssund;M;18789;18421;14073;18789;18421;14072;0;0;1
2022-03-22;Greve;K;20883;20504;15623;20883;20502;15618;0;2;5
2022-03-22;Greve;M;19900;19485;14460;19904;19489;14461;-4;-4;-1
2022-03-22;Køge;K;25693;25244;19648;25693;25243;19644;0;1;4
2022-03-22;Køge;M;24754;24237;18091;24752;24237;18086;2;0;5
2022-03-22;Halsnæs;K;13236;12994;10399;13237;12995;10400;-1;-1;-1
2022-03-22;Halsnæs;M;12779;12522;9782;12780;12523;9783;-1;-1;-1
2022-03-22;Roskilde;K;38638;38070;29685;38641;38072;29680;-3;-2;5
2022-03-22;Roskilde;M;36392;35727;26733;36395;35731;26732;-3;-4;1
2022-03-22;Solrød;K;9954;9799;7461;9957;9802;7463;-3;-3;-2
2022-03-22;Solrød;M;9507;9309;6947;9507;9309;6946;0;0;1
2022-03-22;Gribskov;K;17319;17066;13738;17319;17066;13738;0;0;0
2022-03-22;Gribskov;M;16880;16601;13005;16881;16602;13006;-1;-1;-1
2022-03-22;Odsherred;K;13918;13717;11267;13919;13718;11268;-1;-1;-1
2022-03-22;Odsherred;M;13710;13540;10721;13711;13541;10722;-1;-1;-1
2022-03-22;Holbæk;K;30900;30455;23825;30903;30458;23827;-3;-3;-2
2022-03-22;Holbæk;M;29831;29310;21992;29839;29318;21997;-8;-8;-5
2022-03-22;Faxe;K;15195;14957;11807;15197;14958;11806;-2;-1;1
2022-03-22;Faxe;M;15230;14956;11327;15234;14960;11328;-4;-4;-1
2022-03-22;Kalundborg;K;19952;19666;15706;19953;19667;15705;-1;-1;1
2022-03-22;Kalundborg;M;19843;19517;14914;19845;19518;14913;-2;-1;1
2022-03-22;Ringsted;K;14277;14040;10862;14279;14041;10863;-2;-1;-1
2022-03-22;Ringsted;M;13972;13726;10240;13972;13725;10238;0;1;2
2022-03-22;Slagelse;K;33041;32473;25525;33045;32476;25526;-4;-3;-1
2022-03-22;Slagelse;M;32002;31434;23780;32001;31433;23778;1;1;2
2022-03-22;Stevns;K;9752;9605;7726;9754;9606;7726;-2;-1;0
2022-03-22;Stevns;M;9788;9624;7441;9790;9625;7442;-2;-1;-1
2022-03-22;Sorø;K;12708;12552;9917;12708;12552;9915;0;0;2
2022-03-22;Sorø;M;12427;12231;9243;12429;12233;9242;-2;-2;1
2022-03-22;Lejre;K;12030;11838;9250;12031;11839;9250;-1;-1;0
2022-03-22;Lejre;M;11694;11525;8825;11695;11526;8825;-1;-1;0
2022-03-22;Lolland;K;16431;16218;13095;16434;16221;13098;-3;-3;-3
2022-03-22;Lolland;M;16342;16092;12488;16343;16093;12489;-1;-1;-1
2022-03-22;Næstved;K;35326;34836;27360;35327;34837;27360;-1;-1;0
2022-03-22;Næstved;M;33977;33400;25201;33979;33402;25201;-2;-2;0
2022-03-22;Guldborgsund;K;25122;24811;19898;25123;24812;19898;-1;-1;0
2022-03-22;Guldborgsund;M;24547;24188;18751;24553;24193;18751;-6;-5;0
2022-03-22;Vordingborg;K;18939;18670;15001;18941;18673;15000;-2;-3;1
2022-03-22;Vordingborg;M;18507;18172;14062;18507;18170;14059;0;2;3
2022-03-22;Bornholm;K;17281;17039;14107;17283;17041;14109;-2;-2;-2
2022-03-22;Bornholm;M;16720;16444;13146;16723;16447;13149;-3;-3;-3
2022-03-22;Middelfart;K;17100;16877;13487;17101;16878;13484;-1;-1;3
2022-03-22;Middelfart;M;16822;16555;12778;16822;16555;12775;0;0;3
2022-03-22;Assens;K;17504;17261;13700;17506;17261;13700;-2;0;0
2022-03-22;Assens;M;17412;17115;13002;17413;17113;13004;-1;2;-2
2022-03-22;Faaborg-Midtfyn;K;22224;21912;17298;22226;21913;17300;-2;-1;-2
2022-03-22;Faaborg-Midtfyn;M;22029;21660;16476;22030;21661;16476;-1;-1;0
2022-03-22;Kerteminde;K;10489;10319;8277;10490;10320;8276;-1;-1;1
2022-03-22;Kerteminde;M;10029;9838;7574;10030;9839;7575;-1;-1;-1
2022-03-22;Nyborg;K;14009;13813;10986;14010;13813;10987;-1;0;-1
2022-03-22;Nyborg;M;13496;13291;10222;13499;13294;10223;-3;-3;-1
2022-03-22;Odense;K;88057;86632;66961;88064;86638;66953;-7;-6;8
2022-03-22;Odense;M;84039;82307;60285;84048;82313;60269;-9;-6;16
2022-03-22;Svendborg;K;25591;25241;20099;25595;25245;20097;-4;-4;2
2022-03-22;Svendborg;M;24962;24568;18624;24965;24571;18622;-3;-3;2
2022-03-22;Nordfyn;K;12558;12356;9737;12559;12357;9735;-1;-1;2
2022-03-22;Nordfyn;M;12416;12189;9220;12416;12190;9217;0;-1;3
2022-03-22;Langeland;K;5267;5213;4368;5269;5215;4369;-2;-2;-1
2022-03-22;Langeland;M;5282;5211;4270;5283;5212;4270;-1;-1;0
2022-03-22;Ærø;K;2629;2591;2225;2629;2591;2225;0;0;0
2022-03-22;Ærø;M;2636;2588;2167;2636;2588;2167;0;0;0
2022-03-22;Haderslev;K;22934;22610;17625;22938;22614;17628;-4;-4;-3
2022-03-22;Haderslev;M;22645;22260;16654;22649;22264;16657;-4;-4;-3
2022-03-22;Billund;K;11041;10878;8456;11042;10879;8457;-1;-1;-1
2022-03-22;Billund;M;11128;10946;8290;11128;10946;8290;0;0;0
2022-03-22;Sønderborg;K;31130;30697;24347;31132;30698;24348;-2;-1;-1
2022-03-22;Sønderborg;M;30477;29988;22884;30480;29991;22886;-3;-3;-2
2022-03-22;Tønder;K;15043;14840;11717;15044;14840;11711;-1;0;6
2022-03-22;Tønder;M;14898;14651;11098;14897;14650;11090;1;1;8
2022-03-22;Esbjerg;K;48113;47403;36891;48118;47408;36887;-5;-5;4
2022-03-22;Esbjerg;M;47544;46776;34860;47545;46777;34846;-1;-1;14
2022-03-22;Fanø;K;1543;1527;1272;1543;1527;1272;0;0;0
2022-03-22;Fanø;M;1436;1417;1151;1436;1417;1150;0;0;1
2022-03-22;Varde;K;20495;20178;15868;20498;20181;15870;-3;-3;-2
2022-03-22;Varde;M;20679;20333;15504;20679;20335;15502;0;-2;2
2022-03-22;Vejen;K;17326;17074;13154;17328;17074;13151;-2;0;3
2022-03-22;Vejen;M;17582;17237;12729;17583;17238;12729;-1;-1;0
2022-03-22;Aabenraa;K;23838;23534;18484;23840;23537;18486;-2;-3;-2
2022-03-22;Aabenraa;M;23332;22984;17447;23335;22986;17446;-3;-2;1
2022-03-22;Fredericia;K;21774;21456;16851;21776;21458;16851;-2;-2;0
2022-03-22;Fredericia;M;21274;20899;15858;21276;20900;15859;-2;-1;-1
2022-03-22;Horsens;K;38936;38413;29350;38937;38414;29346;-1;-1;4
2022-03-22;Horsens;M;38208;37499;27537;38212;37503;27532;-4;-4;5
2022-03-22;Kolding;K;38984;38416;29088;38988;38418;29086;-4;-2;2
2022-03-22;Kolding;M;38000;37327;27277;38004;37330;27275;-4;-3;2
2022-03-22;Vejle;K;49424;48703;37038;49430;48706;37040;-6;-3;-2
2022-03-22;Vejle;M;48589;47710;34936;48592;47711;34934;-3;-1;2
2022-03-22;Herning;K;37458;36904;28356;37463;36907;28346;-5;-3;10
2022-03-22;Herning;M;37207;36568;27090;37210;36567;27083;-3;1;7
2022-03-22;Holstebro;K;24959;24589;19117;24961;24590;19117;-2;-1;0
2022-03-22;Holstebro;M;24470;24032;17831;24473;24035;17831;-3;-3;0
2022-03-22;Lemvig;K;8159;8074;6509;8159;8074;6507;0;0;2
2022-03-22;Lemvig;M;8359;8247;6504;8359;8247;6503;0;0;1
2022-03-22;Struer;K;8949;8823;7065;8949;8822;7051;0;1;14
2022-03-22;Struer;M;8904;8760;6683;8904;8759;6676;0;1;7
2022-03-22;Syddjurs;K;18627;18350;14700;18628;18352;14693;-1;-2;7
2022-03-22;Syddjurs;M;18343;18069;14100;18347;18073;14100;-4;-4;0
2022-03-22;Norddjurs;K;15438;15241;12395;15438;15241;12390;0;0;5
2022-03-22;Norddjurs;M;15821;15554;12148;15822;15554;12147;-1;0;1
2022-03-22;Favrskov;K;20759;20430;15631;20760;20430;15630;-1;0;1
2022-03-22;Favrskov;M;20655;20307;15082;20657;20309;15082;-2;-2;0
2022-03-22;Odder;K;10187;10062;8164;10188;10063;8165;-1;-1;-1
2022-03-22;Odder;M;9795;9642;7534;9797;9644;7535;-2;-2;-1
2022-03-22;Randers;K;41833;41206;32051;41836;41203;32044;-3;3;7
2022-03-22;Randers;M;40712;40004;30003;40711;40002;29986;1;2;17
2022-03-22;Silkeborg;K;41024;40362;31177;41027;40365;31180;-3;-3;-3
2022-03-22;Silkeborg;M;40012;39283;29594;40015;39284;29592;-3;-1;2
2022-03-22;Samsø;K;1634;1618;1372;1635;1619;1373;-1;-1;-1
2022-03-22;Samsø;M;1603;1588;1296;1603;1588;1296;0;0;0
2022-03-22;Skanderborg;K;27330;26867;20695;27331;26868;20694;-1;-1;1
2022-03-22;Skanderborg;M;26601;26079;19578;26602;26079;19574;-1;0;4
2022-03-22;Århus;K;151497;148885;116269;151503;148894;116207;-6;-9;62
2022-03-22;Århus;M;144082;140988;104175;144087;140988;104121;-5;0;54
2022-03-22;Ikast-Brande;K;17093;16851;12841;17092;16851;12838;1;0;3
2022-03-22;Ikast-Brande;M;17293;17026;12550;17294;17026;12548;-1;0;2
2022-03-22;Ringkøbing-Skjern;K;23286;22952;17946;23288;22954;17945;-2;-2;1
2022-03-22;Ringkøbing-Skjern;M;23580;23203;17525;23584;23206;17526;-4;-3;-1
2022-03-22;Hedensted;K;19591;19360;15130;19596;19364;15132;-5;-4;-2
2022-03-22;Hedensted;M;19988;19695;14761;19989;19696;14760;-1;-1;1
2022-03-22;Morsø;K;8509;8359;6624;8510;8360;6625;-1;-1;-1
2022-03-22;Morsø;M;8522;8361;6360;8522;8361;6360;0;0;0
2022-03-22;Skive;K;19197;18947;14852;19199;18949;14849;-2;-2;3
2022-03-22;Skive;M;19541;19251;14673;19542;19249;14673;-1;2;0
2022-03-22;Thisted;K;18202;17949;14240;18205;17952;14243;-3;-3;-3
2022-03-22;Thisted;M;18086;17783;13608;18087;17785;13610;-1;-2;-2
2022-03-22;Viborg;K;41090;40505;31258;41090;40503;31235;0;2;23
2022-03-22;Viborg;M;40897;40184;29726;40897;40184;29702;0;0;24
2022-03-22;Brønderslev;K;15250;15014;11656;15250;15015;11655;0;-1;1
2022-03-22;Brønderslev;M;15295;15010;11123;15296;15011;11124;-1;-1;-1
2022-03-22;Frederikshavn;K;25189;24880;20103;25192;24882;20104;-3;-2;-1
2022-03-22;Frederikshavn;M;24918;24494;19070;24923;24499;19075;-5;-5;-5
2022-03-22;Vesthimmerland;K;15001;14790;11649;15005;14793;11653;-4;-3;-4
2022-03-22;Vesthimmerland;M;15031;14773;11169;15035;14777;11170;-4;-4;-1
2022-03-22;Læsø;K;770;761;657;770;761;657;0;0;0
2022-03-22;Læsø;M;767;760;657;767;760;657;0;0;0
2022-03-22;Rebild;K;12652;12440;9510;12653;12441;9510;-1;-1;0
2022-03-22;Rebild;M;12809;12552;9368;12809;12552;9368;0;0;0
2022-03-22;Mariagerfjord;K;17401;17100;13572;17409;17108;13577;-8;-8;-5
2022-03-22;Mariagerfjord;M;17821;17473;13326;17823;17475;13328;-2;-2;-2
2022-03-22;Jammerbugt;K;16112;15838;12548;16114;15840;12549;-2;-2;-1
2022-03-22;Jammerbugt;M;16159;15849;12084;16161;15851;12085;-2;-2;-1
2022-03-22;Aalborg;K;93100;91616;71237;93103;91618;71237;-3;-2;0
2022-03-22;Aalborg;M;93091;91155;67262;93096;91159;67264;-5;-4;-2
2022-03-22;Hjørring;K;27468;27115;21450;27473;27120;21456;-5;-5;-6
2022-03-22;Hjørring;M;26941;26483;19960;26946;26488;19965;-5;-5;-5
