Dage siden 1.vaccination;Antal nye positive;Antal vaccinerede med infektion (kumulativ)
0;126;126
1;154;280
2;166;446
3;184;630
4;200;830
5;225;1055
6;200;1255
7;239;1494
8;184;1678
9;182;1860
10;140;2000
11;155;2155
12;141;2296
13;116;2412
14;125;2537
15;76;2613
16;60;2673
17;56;2729
18;57;2786
19;65;2851
20;36;2887
21;49;2936
22;28;2964
23;37;3001
24;31;3032
25;24;3056
26;31;3087
27;38;3125
28;19;3144
29;16;3160
30;20;3180
31;12;3192
32;12;3204
33;12;3216
34;11;3227
35;6;3233
36;10;3243
37;1;3244
38;3;3247
39;6;3253
40;6;3259
40+;56;3315
